IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
51.140.44.206,2086,2086,false,LHR,Europe,London,155,8.30
51.140.154.44,2086,2086,false,LHR,Europe,London,155,8.29
74.249.233.213,443,443,true,ORD,North America,Chicago,209,8.17
20.119.73.200,80,80,false,IAD,North America,Ashburn,235,8.07
13.68.186.91,443,443,true,IAD,North America,Ashburn,264,8.02
172.190.150.25,8443,443,true,IAD,North America,Ashburn,229,7.66
13.90.119.144,2053,443,true,IAD,North America,Ashburn,268,7.59
20.75.178.96,443,443,true,IAD,North America,Ashburn,231,7.58
13.90.119.144,8443,443,true,IAD,North America,Ashburn,226,7.55
172.208.36.45,80,443,true,IAD,North America,Ashburn,240,5.96
108.142.152.44,80,0,false,AMS,Europe,Amsterdam,157,4.55
4.228.9.204,443,0,false,GRU,South America,São Paulo,343,4.03
191.237.205.178,443,0,false,GRU,South America,São Paulo,342,3.96
191.237.202.255,443,0,false,GRU,South America,São Paulo,342,3.88
20.197.226.118,2053,443,true,GRU,South America,São Paulo,343,3.46
20.203.143.114,2082,80,false,ZRH,Europe,Zurich,150,3.26
20.203.143.117,2086,80,false,ZRH,Europe,Zurich,150,3.23
20.203.143.117,2095,80,false,ZRH,Europe,Zurich,150,2.96
20.203.143.112,2082,80,false,ZRH,Europe,Zurich,149,2.85
20.203.143.112,2053,80,false,ZRH,Europe,Zurich,150,2.74
52.187.35.233,80,0,false,SIN,Asia Pacific,Singapore,2,0.82
20.46.125.42,80,0,false,NRT,Asia Pacific,Tokyo,68,0.19
20.243.87.182,80,0,false,NRT,Asia Pacific,Tokyo,67,0.18
13.70.40.22,80,0,false,HKG,Asia Pacific,Hong Kong,35,0.08
98.67.149.233,443,80,false,FRA,Europe,Frankfurt,155,0.08
20.102.24.191,80,0,false,IAD,North America,Ashburn,233,0.06
52.184.217.63,80,0,false,IAD,North America,Ashburn,224,0.05
20.86.52.80,80,0,false,AMS,Europe,Amsterdam,157,0.04
51.143.162.160,80,80,false,LHR,Europe,London,155,0.03
137.116.251.154,80,443,false,DUB,Europe,Dublin,165,0.02
20.37.207.8,8080,80,false,SYD,Oceania,Sydney,88,0.02
20.81.104.97,80,443,false,IAD,North America,Ashburn,230,0.02
40.83.203.12,80,0,false,SJC,North America,San Jose,169,0.01
52.236.148.143,80,0,false,AMS,Europe,Amsterdam,157,0.01
20.33.62.26,80,0,false,LHR,Europe,London,156,0.00
20.240.40.44,80,0,false,CPH,Europe,Copenhagen,179,0.00
20.18.32.188,443,0,false,NRT,Asia Pacific,Tokyo,69,0.00
74.226.216.102,80,0,false,NRT,Asia Pacific,Tokyo,67,0.00
20.18.32.188,80,0,false,NRT,Asia Pacific,Tokyo,68,0.00
20.78.2.61,80,0,false,NRT,Asia Pacific,Tokyo,68,0.00
20.18.32.188,8080,0,false,NRT,Asia Pacific,Tokyo,68,0.00
20.89.149.18,80,0,false,NRT,Asia Pacific,Tokyo,67,0.00
20.118.131.247,80,0,false,LAX,North America,Los Angeles,174,0.00
20.55.38.130,80,0,false,IAD,North America,Ashburn,225,0.00
172.167.242.53,80,0,false,LHR,Europe,London,154,0.00
20.121.139.153,80,0,false,IAD,North America,Ashburn,234,0.00
4.227.245.157,8080,0,false,IAD,North America,Ashburn,231,0.00
20.172.220.126,80,0,false,IAD,North America,Ashburn,230,0.00
4.227.214.97,80,0,false,IAD,North America,Ashburn,230,0.00
40.87.80.77,80,0,false,IAD,North America,Ashburn,235,0.00
4.216.236.188,80,0,false,NRT,Asia Pacific,Tokyo,68,0.00
20.2.87.94,443,0,false,HKG,Asia Pacific,Hong Kong,35,0.00
20.244.84.91,8443,443,true,BOM,Asia Pacific,Mumbai,48,0.00
20.204.43.57,80,443,false,BOM,Asia Pacific,Mumbai,51,0.00
20.193.145.135,80,0,false,BOM,Asia Pacific,Mumbai,59,0.00
20.222.114.181,8443,443,true,IAD,North America,Ashburn,67,0.00
20.243.248.205,80,0,false,NRT,Asia Pacific,Tokyo,68,0.00
40.115.253.187,8080,0,false,NRT,Asia Pacific,Tokyo,68,0.00
20.213.13.247,80,0,false,SYD,Oceania,Sydney,88,0.00
20.203.143.112,2096,80,false,ZRH,Europe,Zurich,149,0.00
20.218.224.219,2053,443,true,FRA,Europe,Frankfurt,155,0.00
20.254.95.107,2096,0,true,LHR,Europe,London,155,0.00
172.166.254.254,443,443,true,LHR,Europe,London,155,0.00
4.158.77.247,8080,80,false,LHR,Europe,London,155,0.00
51.11.142.112,80,0,false,LHR,Europe,London,155,0.00
20.108.51.255,443,443,true,LHR,Europe,London,156,0.00
13.95.11.86,443,0,false,AMS,Europe,Amsterdam,156,0.00
20.8.170.89,80,0,false,AMS,Europe,Amsterdam,158,0.00
13.66.189.79,80,0,false,SEA,North America,Seattle,161,0.00
20.106.123.66,2053,443,true,LAX,North America,Los Angeles,173,0.00
51.107.211.177,2052,80,false,CPH,Europe,Copenhagen,173,0.00
51.107.211.178,2052,80,false,CPH,Europe,Copenhagen,173,0.00
51.107.211.178,2053,80,false,CPH,Europe,Copenhagen,173,0.00
51.107.211.177,2087,80,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.177,2096,80,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.178,2082,80,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.178,2083,80,false,CPH,Europe,Copenhagen,174,0.00
4.235.9.57,2096,0,true,CPH,Europe,Copenhagen,174,0.00
51.107.211.178,2086,0,false,CPH,Europe,Copenhagen,174,0.00
51.107.211.178,2095,80,false,CPH,Europe,Copenhagen,175,0.00
51.120.5.60,80,0,false,CPH,Europe,Copenhagen,178,0.00
20.246.127.166,443,443,true,IAD,North America,Ashburn,216,0.00
52.254.118.22,80,0,false,IAD,North America,Ashburn,221,0.00
52.245.249.122,80,0,false,IAD,North America,Ashburn,227,0.00
4.255.56.138,80,80,false,IAD,North America,Ashburn,227,0.00
4.255.56.138,443,443,true,IAD,North America,Ashburn,227,0.00
20.246.144.214,443,443,true,IAD,North America,Ashburn,229,0.00
20.230.56.138,80,0,false,IAD,North America,Ashburn,229,0.00
20.226.170.152,443,0,false,GRU,South America,São Paulo,342,0.00
